INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Itamaraju 2915601 2.369,912
Itamari 2915700 131,469
Itambé 2915809 1.625,681
Itanagra 2915908 452,375
Itanhém 2916005 1.445,063
Itaparica 2916104 115,922
Itapé 2916203 443,270
Itapebi 2916302 972,036
Itapetinga 2916401 1.609,515
Itapicuru 2916500 1.550,832
Itapitanga 2916609 410,422
Itaquara 2916708 296,896
Itarantim 2916807 1.783,747
Itatim 2916856 574,259
Itiruçu 2916906 302,926
Itiúba 2917003 1.730,792
Itororó 2917102 330,716
Ituaçu 2917201 1.216,149
Ituberá 2917300 417,542
Iuiú 2917334 1.095,715
Jaborandi 2917359 9.479,853
Jacaraci 2917409 1.241,918
Jacobina 2917508 2.319,825
Jaguaquara 2917607 960,398
Jaguarari 2917706 2.567,158
Jaguaripe 2917805 891,345
Jandaíra 2917904 642,652
Jequié 2918001 3.035,423
Jeremoabo 2918100 4.761,114
Jiquiriçá 2918209 236,255
Jitaúna 2918308 332,805
João Dourado 2918357 984,019
Juazeiro 2918407 6.389,623
Jucuruçu 2918456 1.438,463
Jussara 2918506 886,019
Jussari 2918555 356,735
Jussiape 2918605 523,395
Lafaiete Coutinho 2918704 352,658
Lagoa Real 2918753 996,292
Laje 2918803 498,089
Lajedão 2918902 613,907
Lajedinho 2919009 807,336
Lajedo do Tabocal 2919058 423,785
Lamarão 2919108 356,002
Lapão 2919157 638,317
Lauro de Freitas 2919207 59,905
Lençóis 2919306 1.240,362
Licínio de Almeida 2919405 785,417
Livramento de Nossa Senhora 2919504 2.267,021
Luís Eduardo Magalhães 2919553 4.018,778
Macajuba 2919603 707,098
Macarani 2919702 1.371,657
Área Territorial :
UF – Bahia – BA - 29
MUNICÍPIO CODMUNIC ÁREA (km²)
Macaúbas 2919801 3.039,268
Macururé 2919900 2.278,726
Madre de Deus 2919926 11,141
Maetinga 2919959 368,390
Maiquinique 2920007 413,863
Mairi 2920106 905,851
Malhada 2920205 2.138,093
Malhada de Pedras 2920304 479,393
Manoel Vitorino 2920403 2.400,228
Mansidão 2920452 3.142,825
Maracás 2920502 2.435,201
Maragogipe 2920601 436,072
Maraú 2920700 774,447
Marcionílio Souza 2920809 1.162,138
Mascote 2920908 709,253
Mata de São João 2921005 670,380
Matina 2921054 773,386
Medeiros Neto 2921104 1.245,749
Miguel Calmon 2921203 1.465,438
Milagres 2921302 307,779
Mirangaba 2921401 1.952,295
Mirante 2921450 927,826
Monte Santo 2921500 3.285,166
Morpará 2921609 1.731,929
Morro do Chapéu 2921708 5.531,854
Mortugaba 2921807 670,608
Mucugê 2921906 2.482,204
Mucuri 2922003 1.774,763
Mulungu do Morro 2922052 517,598
Mundo Novo 2922102 1.496,144
Muniz Ferreira 2922201 113,706
Muquém de São Francisco 2922250 3.833,915
Muritiba 2922300 110,562
Mutuípe 2922409 273,320
Nazaré 2922508 256,352
Nilo Peçanha 2922607 385,381
Nordestina 2922656 470,916
Nova Canaã 2922706 757,461
Nova Fátima 2922730 371,480
Nova Ibiá 2922755 180,701
Nova Itarana 2922805 456,256
Nova Redenção 2922854 510,918
Nova Soure 2922904 1.021,277
Nova Viçosa 2923001 1.326,122
Novo Horizonte 2923035 612,451
Novo Triunfo 2923050 217,894
Olindina 2923100 575,412
Oliveira dos Brejinhos 2923209 3.563,908
Ouriçangas 2923308 148,166
Ourolândia 2923357 1.276,011
Palmas de Monte Alto 2923407 2.789,417
Palmeiras 2923506 695,719
Paramirim 2923605 1.115,641
Paratinga 2923704 2.956,387
Paripiranga 2923803 388,784
Pau Brasil 2923902 609,505
Paulo Afonso 2924009 1.573,627
Pé de Serra 2924058 558,438
Pedrão 2924108 172,458
Pedro Alexandre 2924207 1.110,078
Área Territorial :
UF – Bahia – BA - 29
MUNICÍPIO CODMUNIC ÁREA (km²)
Piatã 2924306 1.508,036
Pilão Arcado 2924405 11.700,012
Pindaí 2924504 715,482
Pindobaçu 2924603 527,742
Pintadas 2924652 529,211
Piraí do Norte 2924678 227,638
Piripá 2924702 651,302
Piritiba 2924801 990,598
Planaltino 2924900 938,104
Planalto 2925006 722,987
Poções 2925105 962,857
Pojuca 2925204 318,205
Ponto Novo 2925253 465,311
Porto Seguro 2925303 2.408,594
Potiraguá 2925402 989,471
Prado 2925501 1.664,536
Presidente Dutra 2925600 243,922
Presidente Jânio Quadros 2925709 1.327,379
Presidente Tancredo Neves 2925758 414,912
Queimadas 2925808 2.097,668
Quijingue 2925907 1.271,069
Quixabeira 2925931 368,017
Rafael Jambeiro 2925956 1.234,248
Remanso 2926004 4.693,505
Retirolândia 2926103 203,786
Riachão das Neves 2926202 5.840,191
Riachão do Jacuípe 2926301 1.199,201
Riacho de Santana 2926400 2.698,465
