INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
PARANÁ 199.314,850
Abatiá 4100103 229,083
Adrianópolis 4100202 1.349,338
Agudos do Sul 4100301 192,228
Almirante Tamandaré 4100400 195,145
Altamira do Paraná 4100459 388,634
Alto Paraná 4100608 407,719
Alto Piquiri 4100707 447,722
Altônia 4100509 661,558
Alvorada do Sul 4100806 424,245
Amaporã 4100905 384,734
Ampére 4101002 298,334
Anahy 4101051 102,648
Andirá 4101101 234,802
Ângulo 4101150 106,021
Antonina 4101200 882,316
Antônio Olinto 4101309 469,755
Apucarana 4101408 558,388
Arapongas 4101507 381,091
Arapoti 4101606 1.360,498
Arapuã 4101655 218,838
Araruna 4101705 493,190
Araucária 4101804 469,166
Ariranha do Ivaí 4101853 240,625
Assaí 4101903 440,346
Assis Chateaubriand 4102000 969,588
Astorga 4102109 434,791
Atalaia 4102208 137,663
Balsa Nova 4102307 396,914
Bandeirantes 4102406 447,617
Barbosa Ferraz 4102505 538,621
Barra do Jacaré 4102703 115,592
Barracão 4102604 163,931
Bela Vista da Caroba 4102752 148,107
Bela Vista do Paraíso 4102802 242,692
Bituruna 4102901 1.214,905
Boa Esperança 4103008 307,381
Boa Esperança do Iguaçu 4103024 151,986
Boa Ventura de São Roque 4103040 622,185
Boa Vista da Aparecida 4103057 256,296
Bocaiúva do Sul 4103107 826,344
Bom Jesus do Sul 4103156 173,972
Bom Sucesso 4103206 322,755
Bom Sucesso do Sul 4103222 195,867
Borrazópolis 4103305 334,377
Braganey 4103354 343,321
Brasilândia do Sul 4103370 291,039
Cafeara 4103404 185,798
Cafelândia 4103453 271,724
Cafezal do Sul 4103479 336,205
Califórnia 4103503 141,816
Cambará 4103602 366,173
Cambé 4103701 494,692
Cambira 4103800 162,635
Campina da Lagoa 4103909 808,824
Campina do Simão 4103958 449,401
Campina Grande do Sul 4104006 539,861
Campo Bonito 4104055 433,836
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
Campo do Tenente 4104105 304,489
Campo Largo 4104204 1.249,422
Campo Magro 4104253 275,466
Campo Mourão 4104303 757,109
Cândido de Abreu 4104402 1.510,157
Candói 4104428 1.512,768
Cantagalo 4104451 583,539
Capanema 4104501 418,705
Capitão Leônidas Marques 4104600 275,748
Carambeí 4104659 649,679
Carlópolis 4104709 447,857
Cascavel 4104808 2.100,105
Castro 4104907 2.531,503
Catanduvas 4105003 581,754
Centenário do Sul 4105102 371,835
Cerro Azul 4105201 1.341,187
Céu Azul 4105300 1.179,442
Chopinzinho 4105409 959,692
Cianorte 4105508 811,666
Cidade Gaúcha 4105607 403,044
Clevelândia 4105706 704,634
Colombo 4105805 198,007
Colorado 4105904 403,263
Congonhinhas 4106001 535,959
Conselheiro Mairinck 4106100 204,705
Contenda 4106209 299,037
Corbélia 4106308 529,385
Cornélio Procópio 4106407 637,322
Coronel Domingos Soares 4106456 1.557,894
Coronel Vivida 4106506 684,417
Corumbataí do Sul 4106555 164,442
Cruz Machado 4106803 1.478,351
Cruzeiro do Iguaçu 4106571 161,493
Cruzeiro do Oeste 4106605 779,222
Cruzeiro do Sul 4106704 258,780
Cruzmaltina 4106852 312,299
Curitiba 4106902 434,967
Curiúva 4107009 576,261
Diamante d'Oeste 4107157 309,109
Diamante do Norte 4107108 242,894
Diamante do Sul 4107124 359,945
Dois Vizinhos 4107207 418,320
Douradina 4107256 419,852
Doutor Camargo 4107306 118,278
Doutor Ulysses 4128633 781,447
Enéas Marques 4107405 191,998
Engenheiro Beltrão 4107504 467,257
Entre Rios do Oeste 4107538 122,071
Esperança Nova 4107520 138,560
Espigão Alto do Iguaçu 4107546 326,446
Farol 4107553 289,232
Faxinal 4107603 715,943
Fazenda Rio Grande 4107652 116,676
Fênix 4107702 234,098
Fernandes Pinheiro 4107736 406,501
Figueira 4107751 129,806
Flor da Serra do Sul 4107850 254,886
Floraí 4107801 191,133
Floresta 4107900 158,092
Florestópolis 4108007 246,329
Flórida 4108106 83,046
Formosa do Oeste 4108205 275,712
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
Foz do Iguaçu 4108304 617,701
Foz do Jordão 4108452 235,399
Francisco Alves 4108320 321,898
Francisco Beltrão 4108403 734,988
General Carneiro 4108502 1.070,252
Godoy Moreira 4108551 131,005
Goioerê 4108601 564,048
Goioxim 4108650 702,470
Grandes Rios 4108700 309,312
Guaíra 4108809 560,508
Guairaçá 4108908 493,939
Guamiranga 4108957 259,632
Guapirama 4109005 189,099
Guaporema 4109104 200,188
Guaraci 4109203 211,733
Guaraniaçu 4109302 1.225,607
Guarapuava 4109401 3.115,329
Guaraqueçaba 4109500 2.018,906
Guaratuba 4109609 1.325,883
Honório Serpa 4109658 502,235
Ibaiti 4109708 896,846
Ibema 4109757 145,442
Ibiporã 4109807 300,187
Icaraíma 4109906 675,241
Iguaraçu 4110003 164,983
Iguatu 4110052 106,937
Imbaú 4110078 331,199
Imbituva 4110102 756,531
Inácio Martins 4110201 936,913
Inajá 4110300 194,705
Indianópolis 4110409 122,623
Ipiranga 4110508 927,086
Iporã 4110607 647,894
Iracema do Oeste 4110656 81,538
Irati 4110706 999,515
Iretama 4110805 570,459
Itaguajé 4110904 190,370
Itaipulândia 4110953 336,173
Itambaracá 4111001 207,003
Itambé 4111100 243,821
Itapejara d'Oeste 4111209 254,077
Itaperuçu 4111258 312,382
Itaúna do Sul 4111308 128,870
Ivaí 4111407 607,847
Ivaiporã 4111506 432,470
Ivaté 4111555 410,907
Ivatuba 4111605 96,786
Jaboti 4111704 139,210
Jacarezinho 4111803 602,526
Jaguapitã 4111902 475,004
Jaguariaíva 4112009 1.523,793
Jandaia do Sul 4112108 187,600
Janiópolis 4112207 335,613
Japira 4112306 189,139
Japurá 4112405 165,184
Jardim Alegre 4112504 393,620
Jardim Olinda 4112603 128,515
Jataizinho 4112702 159,180
Jesuítas 4112751 247,496
Joaquim Távora 4112801 289,173
Jundiaí do Sul 4112900 320,815
Juranda 4112959 349,721
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
Jussara 4113007 210,812
Kaloré 4113106 193,299
Lapa 4113205 2.045,893
Laranjal 4113254 559,505
Laranjeiras do Sul 4113304 671,121
Leópolis 4113403 344,920
Lidianópolis 4113429 169,138
Lindoeste 4113452 361,368
Loanda 4113502 722,496
Lobato 4113601 240,904
Londrina 4113700 1.650,809
Luiziana 4113734 908,604
Lunardelli 4113759 199,220
Lupionópolis 4113809 121,067
Mallet 4113908 723,085
Mamborê 4114005 778,683
Mandaguaçu 4114104 294,010
Mandaguari 4114203 335,816
Mandirituba 4114302 379,179
Manfrinópolis 4114351 215,682
Mangueirinha 4114401 1.073,793
Manoel Ribas 4114500 571,338
Marechal Cândido Rondon 4114609 748,003
Maria Helena 4114708 486,234
Marialva 4114807 475,467
Marilândia do Sul 4114906 384,424
Marilena 4115002 232,366
Mariluz 4115101 433,170
Maringá 4115200 487,930
Mariópolis 4115309 230,741
Maripá 4115358 283,802
Marmeleiro 4115408 387,680
Marquinho 4115457 511,147
Marumbi 4115507 208,470
Matelândia 4115606 639,746
Matinhos 4115705 117,064
Mato Rico 4115739 394,533
Mauá da Serra 4115754 108,324
Medianeira 4115804 328,733
Mercedes 4115853 200,864
Mirador 4115903 221,506
Miraselva 4116000 90,294
Missal 4116059 319,510
Moreira Sales 4116109 353,892
Morretes 4116208 684,580
Munhoz de Melo 4116307 137,018
Nossa Senhora das Graças 4116406 185,716
Nova Aliança do Ivaí 4116505 131,272
Nova América da Colina 4116604 129,476
Nova Aurora 4116703 474,011
Nova Cantu 4116802 543,780
Nova Esperança 4116901 401,587
Nova Esperança do Sudoeste 4116950 208,472
Nova Fátima 4117008 283,420
Nova Laranjeiras 4117057 1.145,485
Nova Londrina 4117107 269,389
Nova Olímpia 4117206 136,308
Nova Prata do Iguaçu 4117255 352,565
Nova Santa Bárbara 4117214 71,763
Nova Santa Rosa 4117222 204,666
Nova Tebas 4117271 545,693
Novo Itacolomi 4117297 162,163
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
Ortigueira 4117305 2.429,560
Ourizona 4117404 176,457
Ouro Verde do Oeste 4117453 293,042
Paiçandu 4117503 170,837
Palmas 4117602 1.567,361
Palmeira 4117701 1.457,261
Palmital 4117800 815,893
Palotina 4117909 651,228
Paraíso do Norte 4118006 204,565
Paranacity 4118105 348,951
Paranaguá 4118204 826,652
Paranapoema 4118303 175,874
Paranavaí 4118402 1.202,469
Pato Bragado 4118451 135,285
Pato Branco 4118501 539,415
Paula Freitas 4118600 420,331
Paulo Frontin 4118709 369,210
Peabiru 4118808 469,495
Perobal 4118857 406,707
Pérola 4118907 240,635
Pérola d'Oeste 4119004 206,048
Piên 4119103 254,903
Pinhais 4119152 61,007
Pinhal de São Bento 4119251 96,855
Pinhalão 4119202 220,692
Pinhão 4119301 2.001,586
Piraí do Sul 4119400 1.403,067
Piraquara 4119509 227,560
Pitanga 4119608 1.663,747
Pitangueiras 4119657 123,229
Planaltina do Paraná 4119707 356,191
Planalto 4119806 345,740
Ponta Grossa 4119905 2.067,545
Pontal do Paraná 4119954 200,551
Porecatu 4120002 291,665
Porto Amazonas 4120101 186,575
Porto Barreiro 4120150 361,982
Porto Rico 4120200 217,677
Porto Vitória 4120309 212,582
Prado Ferreira 4120333 153,398
Pranchita 4120358 225,839
Presidente Castelo Branco 4120408 155,734
Primeiro de Maio 4120507 414,442
Prudentópolis 4120606 2.307,897
Quarto Centenário 4120655 321,875
Quatiguá 4120705 112,689
Quatro Barras 4120804 179,538
Quatro Pontes 4120853 114,393
Quedas do Iguaçu 4120903 821,503
Querência do Norte 4121000 914,764
Quinta do Sol 4121109 326,178
Quitandinha 4121208 447,023
Ramilândia 4121257 237,195
Rancho Alegre 4121307 167,646
Rancho Alegre d'Oeste 4121356 241,416
Realeza 4121406 353,415
Rebouças 4121505 481,843
Renascença 4121604 425,082
Reserva 4121703 1.635,025
Reserva do Iguaçu 4121752 834,232
Ribeirão Claro 4121802 632,782
Ribeirão do Pinhal 4121901 374,733
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
Rio Azul 4122008 629,739
Rio Bom 4122107 177,836
Rio Bonito do Iguaçu 4122156 746,120
Rio Branco do Ivaí 4122172 385,595
Rio Branco do Sul 4122206 814,361
Rio Negro 4122305 603,246
Rolândia 4122404 460,153
Roncador 4122503 750,993
Rondon 4122602 556,082
Rosário do Ivaí 4122651 371,248
Sabáudia 4122701 190,324
Salgado Filho 4122800 183,080
Salto do Itararé 4122909 200,517
Salto do Lontra 4123006 313,290
Santa Amélia 4123105 77,903
Santa Cecília do Pavão 4123204 110,200
Santa Cruz de Monte Castelo 4123303 442,012
Santa Fé 4123402 276,241
Santa Helena 4123501 758,229
Santa Inês 4123600 138,480
Santa Isabel do Ivaí 4123709 349,497
Santa Izabel do Oeste 4123808 321,169
Santa Lúcia 4123824 116,857
Santa Maria do Oeste 4123857 847,137
Santa Mariana 4123907 423,909
Santa Mônica 4123956 259,956
Santa Tereza do Oeste 4124020 326,917
Santa Terezinha de Itaipu 4124053 259,393
Santana do Itararé 4124004 251,265
Santo Antônio da Platina 4124103 721,625
Santo Antônio do Caiuá 4124202 219,066
Santo Antônio do Paraíso 4124301 165,904
Santo Antônio do Sudoeste 4124400 325,672
Santo Inácio 4124509 306,871
São Carlos do Ivaí 4124608 225,077
São Jerônimo da Serra 4124707 823,773
São João 4124806 388,060
São João do Caiuá 4124905 304,412
São João do Ivaí 4125001 353,331
São João do Triunfo 4125100 720,407
São Jorge d'Oeste 4125209 379,047
São Jorge do Ivaí 4125308 315,088
São Jorge do Patrocínio 4125357 404,689
São José da Boa Vista 4125407 399,670
São José das Palmeiras 4125456 182,418
São José dos Pinhais 4125506 945,717
São Manoel do Paraná 4125555 95,382
São Mateus do Sul 4125605 1.342,633
São Miguel do Iguaçu 4125704 851,301
São Pedro do Iguaçu 4125753 308,328
São Pedro do Ivaí 4125803 322,692
São Pedro do Paraná 4125902 250,653
São Sebastião da Amoreira 4126009 227,982
São Tomé 4126108 218,624
Sapopema 4126207 677,610
Sarandi 4126256 103,226
Saudade do Iguaçu 4126272 152,084
Sengés 4126306 1.366,628
Serranópolis do Iguaçu 4126355 483,658
Sertaneja 4126405 444,488
Sertanópolis 4126504 505,528
Siqueira Campos 4126603 278,035
Área Territorial :
UF – Paraná – PR - 41
MUNICÍPIO CODMUNIC ÁREA (km²)
Sulina 4126652 170,760
Tamarana 4126678 472,153
Tamboara 4126702 193,345
Tapejara 4126801 591,400
Tapira 4126900 434,367
Teixeira Soares 4127007 902,793
Telêmaco Borba 4127106 1.225,676
Terra Boa 4127205 320,905
Terra Rica 4127304 700,587
Terra Roxa 4127403 800,786
Tibagi 4127502 3.108,746
Tijucas do Sul 4127601 672,197
Toledo 4127700 1.197,016
Tomazina 4127809 591,436
Três Barras do Paraná 4127858 504,172
Tunas do Paraná 4127882 668,481
Tuneiras do Oeste 4127908 698,870
Tupãssi 4127957 310,912
Turvo 4127965 902,246
Ubiratã 4128005 652,581
Umuarama 4128104 1.232,799
União da Vitória 4128203 720,005
Uniflor 4128302 94,819
Uraí 4128401 237,806
Ventania 4128534 759,366
Vera Cruz do Oeste 4128559 327,084
Verê 4128609 312,418
Vila Alta 4128625 967,771
Virmond 4128658 243,176
Vitorino 4128708 307,946
Wenceslau Braz 4128500 397,917
Xambrê 4128807 359,713
