INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial :
UF – Pernambuco – PE - 26
MUNICÍPIO CODMUNIC ÁREA (km²)
PERNAMBUCO 98.311,616
Abreu e Lima 2600054 125,991
Afogados da Ingazeira 2600104 377,863
Afrânio 2600203 1.490,615
Agrestina 2600302 201,437
Água Preta 2600401 543,158
Águas Belas 2600500 885,981
Alagoinha 2600609 200,422
Aliança 2600708 272,728
Altinho 2600807 454,486
Amaraji 2600906 234,780
Angelim 2601003 118,032
Araçoiaba 2601052 96,381
Araripina 2601102 1.847,470
Arcoverde 2601201 353,383
Barra de Guabiraba 2601300 114,216
Barreiros 2601409 233,370
Belém de Maria 2601508 69,465
Belém de São Francisco 2601607 1.830,807
Belo Jardim 2601706 647,696
Betânia 2601805 1.244,071
Bezerros 2601904 492,556
Bodocó 2602001 1.553,853
Bom Conselho 2602100 786,195
Bom Jardim 2602209 222,883
Bonito 2602308 399,503
Brejão 2602407 159,791
Brejinho 2602506 106,297
Brejo da Madre de Deus 2602605 762,088
Buenos Aires 2602704 96,686
Buíque 2602803 1.345,124
Cabo de Santo Agostinho 2602902 447,875
Cabrobó 2603009 1.658,075
Cachoeirinha 2603108 179,268
Caetés 2603207 330,472
Calçado 2603306 114,440
Calumbi 2603405 221,038
Camaragibe 2603454 55,083
Camocim de São Félix 2603504 53,576
Camutanga 2603603 37,297
Canhotinho 2603702 423,075
Capoeiras 2603801 335,258
Carnaíba 2603900 436,981
Carnaubeira da Penha 2603926 1.010,171
Carpina 2604007 146,124
Caruaru 2604106 920,610
Casinhas 2604155 125,282
Catende 2604205 206,923
Cedro 2604304 144,085
Chã de Alegria 2604403 48,453
Chã Grande 2604502 70,192
Condado 2604601 89,643
Correntes 2604700 339,303
Cortês 2604809 101,332
Cumaru 2604908 292,242
Cupira 2605004 105,924
Custódia 2605103 1.404,100
Dormentes 2605152 1.537,588
Área Territorial :
UF – Pernambuco – PE - 26
MUNICÍPIO CODMUNIC ÁREA (km²)
Escada 2605202 347,197
Exu 2605301 1.473,958
Feira Nova 2605400 107,745
Fernando de Noronha 2605459 16,987
Ferreiros 2605509 92,103
Flores 2605608 953,846
Floresta 2605707 3.643,970
Frei Miguelinho 2605806 212,702
Gameleira 2605905 257,716
Garanhuns 2606002 472,462
Glória do Goitá 2606101 231,185
Goiana 2606200 501,170
Granito 2606309 521,857
Gravatá 2606408 513,367
Iati 2606507 635,143
Ibimirim 2606606 2.033,593
Ibirajuba 2606705 189,591
Igarassu 2606804 305,565
Iguaraci 2606903 838,124
Inajá 2607000 1.182,159
Ingazeira 2607109 243,666
Ipojuca 2607208 527,317
Ipubi 2607307 665,624
Itacuruba 2607406 430,010
Itaíba 2607505 1.068,286
Ilha de Itamaracá 2607604 65,411
Itambé 2607653 304,383
Itapetim 2607703 404,824
Itapissuma 2607752 74,249
Itaquitinga 2607802 103,442
Jaboatão dos Guararapes 2607901 256,073
Jaqueira 2607950 89,096
Jataúba 2608008 719,217
Jatobá 2608057 277,856
João Alfredo 2608107 133,524
Joaquim Nabuco 2608206 121,884
Jucati 2608255 120,654
Jupi 2608305 112,531
Jurema 2608404 148,246
Lagoa do Carro 2608453 69,870
Lagoa do Itaenga 2608503 57,903
Lagoa do Ouro 2608602 198,768
Lagoa dos Gatos 2608701 233,165
Lagoa Grande 2608750 1.852,186
Lajedo 2608800 189,055
Limoeiro 2608909 269,970
Macaparana 2609006 126,353
Machados 2609105 56,957
Manari 2609154 406,636
Maraial 2609204 196,246
Mirandiba 2609303 809,255
Moreilândia 2614303 637,599
Moreno 2609402 195,603
Nazaré da Mata 2609501 150,816
Olinda 2609600 43,548
Orobó 2609709 140,785
Orocó 2609808 554,752
Ouricuri 2609907 2.422,860
Palmares 2610004 336,838
Palmeirina 2610103 158,014
Panelas 2610202 371,157
Paranatama 2610301 230,878
Área Territorial :
UF – Pernambuco – PE - 26
MUNICÍPIO CODMUNIC ÁREA (km²)
Parnamirim 2610400 2.608,072
Passira 2610509 329,755
Paudalho 2610608 277,796
Paulista 2610707 93,518
Pedra 2610806 803,024
Pesqueira 2610905 1.000,225
Petrolândia 2611002 1.056,648
Petrolina 2611101 4.558,537
Poção 2611200 199,742
Pombos 2611309 207,656
Primavera 2611408 109,942
Quipapá 2611507 230,614
Quixaba 2611533 209,964
Recife 2611606 217,494
Riacho das Almas 2611705 313,990
Ribeirão 2611804 287,987
Rio Formoso 2611903 239,814
Sairé 2612000 195,457
Salgadinho 2612109 88,812
Salgueiro 2612208 1.639,264
Saloá 2612307 252,080
Sanharó 2612406 256,183
Santa Cruz 2612455 1.255,905
Santa Cruz da Baixa Verde 2612471 114,931
Santa Cruz do Capibaribe 2612505 335,526
Santa Filomena 2612554 1.005,062
Santa Maria da Boa Vista 2612604 3.001,168
Santa Maria do Cambucá 2612703 92,145
Santa Terezinha 2612802 195,584
São Benedito do Sul 2612901 156,782
São Bento do Una 2613008 726,964
São Caitano 2613107 382,475
São João 2613206 244,437
São Joaquim do Monte 2613305 242,629
São José da Coroa Grande 2613404 69,196
São José do Belmonte 2613503 1.479,964
São José do Egito 2613602 791,901
São Lourenço da Mata 2613701 264,346
São Vicente Ferrer 2613800 110,489
Serra Talhada 2613909 2.979,974
Serrita 2614006 1.603,599
Sertânia 2614105 2.421,511
Sirinhaém 2614204 378,790
Solidão 2614402 138,399
Surubim 2614501 252,845
Tabira 2614600 388,001
Tacaimbó 2614709 227,586
Tacaratu 2614808 1.264,541
Tamandaré 2614857 190,017
Taquaritinga do Norte 2615003 475,176
Terezinha 2615102 151,449
Terra Nova 2615201 360,863
Timbaúba 2615300 289,511
Toritama 2615409 30,930
Tracunhaém 2615508 116,659
Trindade 2615607 229,569
Triunfo 2615706 191,516
Tupanatinga 2615805 795,638
Tuparetama 2615904 185,541
Venturosa 2616001 338,121
Verdejante 2616100 476,034
Vertente do Lério 2616183 67,075
Área Territorial :
UF – Pernambuco – PE - 26
MUNICÍPIO CODMUNIC ÁREA (km²)
Vertentes 2616209 191,091
Vicência 2616308 230,818
Vitória de Santo Antão 2616407 371,796
Xexéu 2616506 110,803
