INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial
: UF – São Paulo – SP - 35
MUNICÍPIO CODMUNIC ÁREA (km²)
SÃO PAULO 248.209,426
Adamantina 3500105 411,781
Adolfo 3500204 210,843
Aguaí 3500303 473,365
Águas da Prata 3500402 142,588
Águas de Lindóia 3500501 60,000
Águas de Santa Bárbara 3500550 408,471
Águas de São Pedro 3500600 3,640
Agudos 3500709 967,591
Alambari 3500758 159,190
Alfredo Marcondes 3500808 119,504
Altair 3500907 316,088
Altinópolis 3501004 929,426
Alto Alegre 3501103 318,216
Alumínio 3501152 83,739
Álvares Florence 3501202 361,844
Álvares Machado 3501301 346,283
Álvaro de Carvalho 3501400 152,623
Alvinlândia 3501509 85,040
Americana 3501608 133,630
Américo Brasiliense 3501707 123,429
Américo de Campos 3501806 253,849
Amparo 3501905 446,009
Analândia 3502002 326,630
Andradina 3502101 960,095
Angatuba 3502200 1.028,702
Anhembi 3502309 736,463
Anhumas 3502408 320,926
Aparecida 3502507 120,939
Aparecida d'Oeste 3502606 179,069
Apiaí 3502705 968,841
Araçariguama 3502754 146,331
Araçatuba 3502804 1.167,311
Araçoiaba da Serra 3502903 255,550
Aramina 3503000 202,704
Arandu 3503109 286,328
Arapeí 3503158 155,707
Araraquara 3503208 1.005,968
Araras 3503307 643,457
Arco-Íris 3503356 263,214
Arealva 3503406 506,465
Areias 3503505 306,566
Areiópolis 3503604 85,947
Ariranha 3503703 133,112
Artur Nogueira 3503802 177,752
Arujá 3503901 97,448
Aspásia 3503950 69,394
Assis 3504008 461,705
Atibaia 3504107 478,101
Auriflama 3504206 432,902
Avaí 3504305 542,157
Avanhandava 3504404 340,338
Avaré 3504503 1.216,640
Bady Bassitt 3504602 109,587
Balbinos 3504701 90,858
Bálsamo 3504800 150,410
Bananal 3504909 616,320
Barão de Antonina 3505005 154,922
Área Territorial
: UF – São Paulo – SP - 35
MUNICÍPIO CODMUNIC ÁREA (km²)
Barbosa 3505104 205,131
Bariri 3505203 440,600
Barra Bonita 3505302 150,178
Barra do Chapéu 3505351 407,286
Barra do Turvo 3505401 1.007,285
Barretos 3505500 1.563,611
Barrinha 3505609 146,567
Barueri 3505708 64,167
Bastos 3505807 170,454
Batatais 3505906 850,718
Bauru 3506003 673,488
Bebedouro 3506102 682,511
Bento de Abreu 3506201 301,848
Bernardino de Campos 3506300 244,018
Bertioga 3506359 491,701
Bilac 3506409 157,278
Birigui 3506508 530,651
Biritiba-Mirim 3506607 316,717
Boa Esperança do Sul 3506706 691,017
Bocaina 3506805 364,044
Bofete 3506904 653,360
Boituva 3507001 249,014
Bom Jesus dos Perdões 3507100 108,513
Bom Sucesso de Itararé 3507159 133,221
Borá 3507209 118,669
Boracéia 3507308 120,796
Borborema 3507407 552,604
Borebi 3507456 348,116
Botucatu 3507506 1.482,874
Bragança Paulista 3507605 513,589
Braúna 3507704 195,516
Brejo Alegre 3507753 104,832
Brodowski 3507803 279,804
Brotas 3507902 1.101,468
Buri 3508009 1.194,977
Buritama 3508108 326,638
Buritizal 3508207 266,271
Cabrália Paulista 3508306 239,210
Cabreúva 3508405 259,807
Caçapava 3508504 369,907
Cachoeira Paulista 3508603 287,837
Caconde 3508702 470,487
Cafelândia 3508801 919,860
Caiabu 3508900 251,949
Caieiras 3509007 95,894
Caiuá 3509106 535,522
Cajamar 3509205 128,356
Cajati 3509254 454,925
Cajobi 3509304 176,786
Cajuru 3509403 660,687
Campina do Monte Alegre 3509452 184,077
Campinas 3509502 795,697
Campo Limpo Paulista 3509601 80,048
Campos do Jordão 3509700 289,512
Campos Novos Paulista 3509809 484,577
Cananéia 3509908 1.242,010
Canas 3509957 53,494
Cândido Mota 3510005 596,290
Cândido Rodrigues 3510104 69,523
Canitar 3510153 57,380
Capão Bonito 3510203 1.641,043
Área Territorial
: UF – São Paulo – SP - 35
MUNICÍPIO CODMUNIC ÁREA (km²)
Capela do Alto 3510302 169,981
Capivari 3510401 323,198
Caraguatatuba 3510500 483,950
Carapicuíba 3510609 34,967
Cardoso 3510708 637,571
Casa Branca 3510807 865,544
Cássia dos Coqueiros 3510906 190,916
Castilho 3511003 1.062,653
Catanduva 3511102 292,240
Catiguá 3511201 145,431
Cedral 3511300 197,619
Cerqueira César 3511409 503,640
Cerquilho 3511508 127,758
Cesário Lange 3511607 190,189
Charqueada 3511706 175,998
Chavantes 3557204 188,212
Clementina 3511904 168,739
Colina 3512001 423,963
Colômbia 3512100 729,252
Conchal 3512209 183,826
Conchas 3512308 468,243
Cordeirópolis 3512407 137,337
Coroados 3512506 246,544
Coronel Macedo 3512605 304,505
Corumbataí 3512704 278,143
Cosmópolis 3512803 154,730
Cosmorama 3512902 441,326
Cotia 3513009 323,891
Cravinhos 3513108 311,341
Cristais Paulista 3513207 385,460
Cruzália 3513306 149,173
Cruzeiro 3513405 304,572
Cubatão 3513504 142,281
Cunha 3513603 1.407,172
Descalvado 3513702 755,226
Diadema 3513801 30,650
Dirce Reis 3513850 88,400
Divinolândia 3513900 222,257
Dobrada 3514007 150,085
Dois Córregos 3514106 632,559
Dolcinópolis 3514205 78,144
Dourado 3514304 205,981
Dracena 3514403 488,044
Duartina 3514502 264,281
Dumont 3514601 110,866
Echaporã 3514700 514,587
Eldorado 3514809 1.656,728
Elias Fausto 3514908 201,471
Elisiário 3514924 92,708
Embaúba 3514957 83,699
Embu 3515004 70,079
Embu-Guaçu 3515103 155,036
Emilianópolis 3515129 223,311
Engenheiro Coelho 3515152 109,798
Espírito Santo do Pinhal 3515186 390,413
Espírito Santo do Turvo 3515194 191,294
Estiva Gerbi 3557303 73,723
Estrela d'Oeste 3515202 296,261
Estrela do Norte 3515301 263,273
Euclides da Cunha Paulista 3515350 577,122
Fartura 3515400 429,464
Área Territorial
: UF – São Paulo – SP - 35
MUNICÍPIO CODMUNIC ÁREA (km²)
Fernando Prestes 3515608 170,112
Fernandópolis 3515509 549,551
Fernão 3515657 100,297
Ferraz de Vasconcelos 3515707 30,071
Flora Rica 3515806 225,115
Floreal 3515905 203,661
Flórida Paulista 3516002 524,910
Florínia 3516101 227,359
Franca 3516200 607,333
Francisco Morato 3516309 49,164
Franco da Rocha 3516408 133,931
Gabriel Monteiro 3516507 138,533
