INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial :
UF – Minas Gerais – MG - 31
MUNICÍPIO CODMUNIC ÁREA (km²)
MINAS GERAIS 586.528,293
Abadia dos Dourados 3100104 894,515
Abaeté 3100203 1.816,856
Abre Campo 3100302 471,055
Acaiaca 3100401 100,876
Açucena 3100500 811,490
Água Boa 3100609 1.317,748
Água Comprida 3100708 489,513
Aguanil 3100807 235,025
Águas Formosas 3100906 817,727
Águas Vermelhas 3101003 1.257,601
Aimorés 3101102 1.349,987
Aiuruoca 3101201 650,069
Alagoa 3101300 161,555
Albertina 3101409 57,617
Além Paraíba 3101508 511,199
Alfenas 3101607 848,320
Alfredo Vasconcelos 3101631 126,913
Almenara 3101706 2.300,797
Alpercata 3101805 167,349
Alpinópolis 3101904 458,976
Alterosa 3102001 366,101
Alto Caparaó 3102050 104,571
Alto Jequitibá 3153509 152,737
Alto Rio Doce 3102100 518,982
Alvarenga 3102209 367,319
Alvinópolis 3102308 599,343
Alvorada de Minas 3102407 374,910
Amparo do Serra 3102506 145,811
Andradas 3102605 467,403
Andrelândia 3102803 1.004,536
Angelândia 3102852 184,882
Antônio Carlos 3102902 525,025
Antônio Dias 3103009 877,844
Antônio Prado de Minas 3103108 85,042
Araçaí 3103207 185,764
Aracitaba 3103306 105,885
Araçuaí 3103405 2.235,696
Araguari 3103504 2.730,632
Arantina 3103603 89,382
Araponga 3103702 304,421
Araporã 3103751 298,490
Arapuá 3103801 172,529
Araújos 3103900 245,617
Araxá 3104007 1.165,169
Arceburgo 3104106 162,460
Arcos 3104205 510,048
Areado 3104304 280,754
Argirita 3104403 159,326
Aricanduva 3104452 243,539
Arinos 3104502 5.322,795
Astolfo Dutra 3104601 159,139
Ataléia 3104700 1.838,384
Augusto de Lima 3104809 1.250,649
Baependi 3104908 751,748
Baldim 3105004 554,029
Bambuí 3105103 1.455,380
Bandeira 3105202 484,680
Área Territorial :
UF – Minas Gerais – MG - 31
MUNICÍPIO CODMUNIC ÁREA (km²)
Bandeira do Sul 3105301 46,917
Barão de Cocais 3105400 340,675
Barão de Monte Alto 3105509 199,105
Barbacena 3105608 788,001
Barra Longa 3105707 386,101
Barroso 3105905 81,726
Bela Vista de Minas 3106002 108,606
Belmiro Braga 3106101 392,319
Belo Horizonte 3106200 330,954
Belo Oriente 3106309 336,012
Belo Vale 3106408 365,437
Berilo 3106507 586,752
Berizal 3106655 493,335
Bertópolis 3106606 425,575
Betim 3106705 345,913
Bias Fortes 3106804 284,271
Bicas 3106903 139,538
Biquinhas 3107000 457,226
Boa Esperança 3107109 858,728
Bocaina de Minas 3107208 501,446
Bocaiúva 3107307 3.232,660
Bom Despacho 3107406 1.209,139
Bom Jardim de Minas 3107505 395,289
Bom Jesus da Penha 3107604 209,069
Bom Jesus do Amparo 3107703 195,457
Bom Jesus do Galho 3107802 590,971
Bom Repouso 3107901 229,785
Bom Sucesso 3108008 706,192
Bonfim 3108107 301,210
Bonfinópolis de Minas 3108206 1.778,162
Bonito de Minas 3108255 3.900,641
Borda da Mata 3108305 300,081
Botelhos 3108404 333,666
Botumirim 3108503 1.571,797
Brás Pires 3108701 223,362
Brasilândia de Minas 3108552 2.515,339
Brasília de Minas 3108602 1.398,563
Brasópolis 3108909 361,160
Braúnas 3108800 377,155
Brumadinho 3109006 640,150
Bueno Brandão 3109105 355,233
Buenópolis 3109204 1.610,959
Bugre 3109253 162,432
Buritis 3109303 5.219,469
Buritizeiro 3109402 7.225,595
Cabeceira Grande 3109451 1.025,991
Cabo Verde 3109501 367,470
Cachoeira da Prata 3109600 61,206
Cachoeira de Minas 3109709 305,420
Cachoeira de Pajeú 3102704 673,761
Cachoeira Dourada 3109808 202,739
Caetanópolis 3109907 156,231
Caeté 3110004 541,094
Caiana 3110103 106,513
Cajuri 3110202 83,365
Caldas 3110301 713,634
Camacho 3110400 222,218
Camanducaia 3110509 527,572
Cambuí 3110608 242,859
Cambuquira 3110707 245,792
Área Territorial :
UF – Minas Gerais – MG - 31
MUNICÍPIO CODMUNIC ÁREA (km²)
Campanário 3110806 441,421
Campanha 3110905 336,033
Campestre 3111002 577,152
Campina Verde 3111101 3.663,418
Campo Azul 3111150 506,463
Campo Belo 3111200 526,753
Campo do Meio 3111309 273,830
Campo Florido 3111408 1.261,726
Campos Altos 3111507 719,121
Campos Gerais 3111606 769,207
Cana Verde 3111903 212,367
Canaã 3111705 175,066
Canápolis 3111804 845,238
Candeias 3112000 720,650
Cantagalo 3112059 141,839
Caparaó 3112109 130,064
Capela Nova 3112208 110,955
Capelinha 3112307 965,901
Capetinga 3112406 296,722
Capim Branco 3112505 94,147
Capinópolis 3112604 621,159
Capitão Andrade 3112653 275,603
Capitão Enéas 3112703 970,341
Capitólio 3112802 522,079
Caputira 3112901 188,112
Caraí 3113008 1.240,160
Caranaíba 3113107 160,022
Carandaí 3113206 486,409
Carangola 3113305 352,510
Caratinga 3113404 1.250,874
Carbonita 3113503 1.454,935
Careaçu 3113602 181,297
Carlos Chagas 3113701 3.198,853
Carmésia 3113800 258,533
Carmo da Cachoeira 3113909 505,947
Carmo da Mata 3114006 356,658
Carmo de Minas 3114105 323,321
Carmo do Cajuru 3114204 455,005
Carmo do Paranaíba 3114303 1.307,119
Carmo do Rio Claro 3114402 1.064,790
Carmópolis de Minas 3114501 400,621
Carneirinho 3114550 2.060,720
Carrancas 3114600 727,822
Carvalhópolis 3114709 80,703
Carvalhos 3114808 282,587
Casa Grande 3114907 157,994
Cascalho Rico 3115003 367,732
Cássia 3115102 643,866
Cataguases 3115300 482,325
Catas Altas 3115359 240,223
Catas Altas da Noruega 3115409 143,366
Catuji 3115458 421,016
Catuti 3115474 285,988
Caxambu 3115508 100,203
Cedro do Abaeté 3115607 279,906
Central de Minas 3115706 203,675
Centralina 3115805 321,985
Chácara 3115904 152,874
Chalé 3116001 212,513
Chapada do Norte 3116100 827,958
Área Territorial :
UF – Minas Gerais – MG - 31
MUNICÍPIO CODMUNIC ÁREA (km²)
Chapada Gaúcha 3116159 3.214,698
Chiador 3116209 252,346
Cipotânea 3116308 153,435
Claraval 3116407 210,715
Claro dos Poções 3116506 705,965
Cláudio 3116605 630,278
Coimbra 3116704 106,834
Coluna 3116803 347,610
Comendador Gomes 3116902 1.042,882
Comercinho 3117009 656,563
Conceição da Aparecida 3117108 349,489
Conceição da Barra de Minas 3115201 273,048
Conceição das Alagoas 3117306 1.348,222
Conceição das Pedras 3117207 101,562
Conceição de Ipanema 3117405 254,513
Conceição do Mato Dentro 3117504 1.671,465
Conceição do Pará 3117603 249,409
Conceição do Rio Verde 3117702 370,040
Conceição dos Ouros 3117801 182,673
Cônego Marinho 3117836 1.617,916
Confins 3117876 42,008
Congonhal 3117900 205,756
Congonhas 3118007 305,579
Congonhas do Norte 3118106 483,002
Conquista 3118205 616,211
