INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial :
UF – Santa Catarina – SC - 42
MUNICÍPIO CODMUNIC ÁREA (km²)
SANTA CATARINA 95.346,181
Abdon Batista 4200051 235,600
Abelardo Luz 4200101 955,368
Agrolândia 4200200 207,119
Agronômica 4200309 135,923
Água Doce 4200408 1.313,014
Águas de Chapecó 4200507 139,132
Águas Frias 4200556 75,162
Águas Mornas 4200606 360,757
Alfredo Wagner 4200705 732,277
Alto Bela Vista 4200754 103,592
Anchieta 4200804 228,580
Angelina 4200903 499,947
Anita Garibaldi 4201000 588,612
Anitápolis 4201109 542,380
Antônio Carlos 4201208 229,118
Apiúna 4201257 493,529
Arabutã 4201273 132,232
Araquari 4201307 401,831
Araranguá 4201406 303,799
Armazém 4201505 173,484
Arroio Trinta 4201604 94,333
Arvoredo 4201653 90,709
Ascurra 4201703 111,672
Atalanta 4201802 94,527
Aurora 4201901 206,947
Balneário Arroio do Silva 4201950 93,819
Balneário Barra do Sul 4202057 110,428
Balneário Camboriú 4202008 46,489
Balneário Gaivota 4202073 147,710
Bandeirante 4202081 146,255
Barra Bonita 4202099 93,469
Barra Velha 4202107 140,160
Bela Vista do Toldo 4202131 534,618
Belmonte 4202156 93,604
Benedito Novo 4202206 385,402
Biguaçu 4202305 324,521
Blumenau 4202404 519,837
Bocaina do Sul 4202438 496,250
Bom Jardim da Serra 4202503 935,177
Bom Jesus 4202537 63,552
Bom Jesus do Oeste 4202578 67,899
Bom Retiro 4202602 1.055,501
Bombinhas 4202453 34,489
Botuverá 4202701 303,023
Braço do Norte 4202800 221,311
Braço do Trombudo 4202859 89,681
Brunópolis 4202875 335,513
Brusque 4202909 283,445
Caçador 4203006 981,901
Caibi 4203105 171,711
Calmon 4203154 639,528
Camboriú 4203204 214,500
Campo Alegre 4203303 496,146
Campo Belo do Sul 4203402 1.027,407
Campo Erê 4203501 478,734
Campos Novos 4203600 1.659,625
Canelinha 4203709 151,409
Área Territorial :
UF – Santa Catarina – SC - 42
MUNICÍPIO CODMUNIC ÁREA (km²)
Canoinhas 4203808 1.144,837
Capão Alto 4203253 1.335,280
Capinzal 4203907 333,980
Capivari de Baixo 4203956 53,165
Catanduvas 4204004 198,033
Caxambu do Sul 4204103 140,578
Celso Ramos 4204152 207,409
Cerro Negro 4204178 416,774
Chapadão do Lageado 4204194 124,472
Chapecó 4204202 624,308
Cocal do Sul 4204251 71,210
Concórdia 4204301 797,260
Cordilheira Alta 4204350 83,768
Coronel Freitas 4204400 234,157
Coronel Martins 4204459 107,408
Correia Pinto 4204558 651,614
Corupá 4204509 405,003
Criciúma 4204608 235,628
Cunha Porã 4204707 220,293
Cunhataí 4204756 54,511
Curitibanos 4204806 952,283
Descanso 4204905 285,571
Dionísio Cerqueira 4205001 377,704
Dona Emma 4205100 181,018
Doutor Pedrinho 4205159 375,758
Entre Rios 4205175 105,167
Ermo 4205191 63,868
Erval Velho 4205209 207,686
Faxinal dos Guedes 4205308 339,637
Flor do Sertão 4205357 58,708
Florianópolis 4205407 433,317
Formosa do Sul 4205431 99,576
Forquilhinha 4205456 181,915
Fraiburgo 4205506 546,249
Frei Rogério 4205555 157,845
Galvão 4205605 121,900
Garopaba 4205704 114,670
Garuva 4205803 501,390
Gaspar 4205902 386,354
Governador Celso Ramos 4206009 93,061
Grão Pará 4206108 328,097
Gravatal 4206207 168,473
Guabiruba 4206306 173,591
Guaraciaba 4206405 330,646
Guaramirim 4206504 268,119
Guarujá do Sul 4206603 100,550
Guatambú 4206652 204,757
Herval d'Oeste 4206702 222,405
Ibiam 4206751 147,329
Ibicaré 4206801 150,512
Ibirama 4206900 246,705
Içara 4207007 292,779
Ilhota 4207106 253,442
Imaruí 4207205 542,236
Imbituba 4207304 184,787
Imbuia 4207403 121,891
Indaial 4207502 430,534
Iomerê 4207577 114,735
Ipira 4207601 150,304
Iporã do Oeste 4207650 202,369
Ipuaçu 4207684 261,391
Área Territorial :
UF – Santa Catarina – SC - 42
MUNICÍPIO CODMUNIC ÁREA (km²)
Ipumirim 4207700 247,067
Iraceminha 4207759 164,375
Irani 4207809 321,559
Irati 4207858 69,802
Irineópolis 4207908 591,290
Itá 4208005 165,463
Itaiópolis 4208104 1.295,319
Itajaí 4208203 289,255
Itapema 4208302 59,022
Itapiranga 4208401 280,116
Itapoá 4208450 257,158
Ituporanga 4208500 336,955
Jaborá 4208609 191,117
Jacinto Machado 4208708 428,650
Jaguaruna 4208807 329,459
Jaraguá do Sul 4208906 532,590
Jardinópolis 4208955 68,097
Joaçaba 4209003 232,354
Joinville 4209102 1.130,878
José Boiteux 4209151 405,519
Jupiá 4209177 91,710
Lacerdópolis 4209201 68,453
Lages 4209300 2.644,313
Laguna 4209409 440,525
Lajeado Grande 4209458 65,928
Laurentino 4209508 79,506
Lauro Muller 4209607 270,508
Lebon Régis 4209706 940,656
Leoberto Leal 4209805 291,191
Lindóia do Sul 4209854 195,056
Lontras 4209904 198,397
Luiz Alves 4210001 260,079
Luzerna 4210035 116,832
Macieira 4210050 260,072
Mafra 4210100 1.404,206
Major Gercino 4210209 285,679
Major Vieira 4210308 525,988
Maracajá 4210407 63,401
Maravilha 4210506 169,447
Marema 4210555 103,616
Massaranduba 4210605 373,296
Matos Costa 4210704 432,177
Meleiro 4210803 186,618
Mirim Doce 4210852 336,313
Modelo 4210902 92,717
Mondaí 4211009 200,980
Monte Carlo 4211058 162,785
Monte Castelo 4211108 561,732
Morro da Fumaça 4211207 82,935
Morro Grande 4211256 256,468
Navegantes 4211306 111,461
Nova Erechim 4211405 64,400
Nova Itaberaba 4211454 137,583
Nova Trento 4211504 402,118
Nova Veneza 4211603 293,557
Novo Horizonte 4211652 151,672
Orleans 4211702 549,824
Otacílio Costa 4211751 846,576
Ouro 4211801 206,229
Ouro Verde 4211850 189,270
Paial 4211876 85,761
Área Territorial :
UF – Santa Catarina – SC - 42
MUNICÍPIO CODMUNIC ÁREA (km²)
Painel 4211892 742,103
Palhoça 4211900 394,662
Palma Sola 4212007 331,776
Palmeira 4212056 292,216
Palmitos 4212106 350,690
Papanduva 4212205 759,832
Paraíso 4212239 178,607
Passo de Torres 4212254 95,054
Passos Maia 4212270 614,432
Paulo Lopes 4212304 450,372
Pedras Grandes 4212403 171,821
Penha 4212502 58,783
Peritiba 4212601 96,407
Petrolândia 4212700 306,153
Piçarras 4212809 99,071
Pinhalzinho 4212908 128,298
Pinheiro Preto 4213005 65,705
Piratuba 4213104 145,701
Planalto Alegre 4213153 62,632
Pomerode 4213203 215,904
Ponte Alta 4213302 566,754
Ponte Alta do Norte 4213351 400,972
Ponte Serrada 4213401 564,005
Porto Belo 4213500 92,762
Porto União 4213609 851,239
Pouso Redondo 4213708 359,519
Praia Grande 4213807 278,576
Presidente Castelo Branco 4213906 76,940
Presidente Getúlio 4214003 295,650
Presidente Nereu 4214102 224,672
Princesa 4214151 86,215
Quilombo 4214201 279,279
Rancho Queimado 4214300 286,432
Rio do Oeste 4214607 245,633
Rio das Antas 4214409 317,190
Rio do Campo 4214508 506,198
Rio do Sul 4214805 258,401
Rio dos Cedros 4214706 555,654
Rio Fortuna 4214904 300,315
Rio Negrinho 4215000 908,391
Rio Rufino 4215059 282,569
Riqueza 4215075 190,279
Rodeio 4215109 130,942
Romelândia 4215208 223,749
Salete 4215307 179,308
Saltinho 4215356 156,528
Salto Veloso 4215406 105,042
Sangão 4215455 83,058
Santa Cecília 4215505 1.145,321
Santa Helena 4215554 80,982
Santa Rosa de Lima 4215604 202,977
Santa Rosa do Sul 4215653 151,440
Santa Terezinha 4215679 716,253
Santa Terezinha do Progresso 4215687 118,997
Santiago do Sul 4215695 73,562
Santo Amaro da Imperatriz 4215703 310,735
São Bento do Sul 4215802 495,578
São Bernardino 4215752 144,960
São Bonifácio 4215901 461,301
São Carlos 4216008 158,988
São Cristovão do Sul 4216057 348,963
Área Territorial :
UF – Santa Catarina – SC - 42
MUNICÍPIO CODMUNIC ÁREA (km²)
São Domingos 4216107 383,653
São Francisco do Sul 4216206 492,819
São João Batista 4216305 220,726
São João do Itaperiú 4216354 151,926
São João do Oeste 4216255 163,650
São João do Sul 4216404 182,699
São Joaquim 4216503 1.885,608
São José 4216602 113,171
São José do Cedro 4216701 279,581
São José do Cerrito 4216800 946,243
São Lourenço do Oeste 4216909 369,478
São Ludgero 4217006 107,571
São Martinho 4217105 224,531
São Miguel do Oeste 4217204 234,396
São Miguel da Boa Vista 4217154 71,922
São Pedro de Alcântara 4217253 139,635
Saudades 4217303 205,554
Schroeder 4217402 143,818
Seara 4217501 312,540
Serra Alta 4217550 90,444
Siderópolis 4217600 262,700
Sombrio 4217709 142,745
Sul Brasil 4217758 112,701
Taió 4217808 693,025
Tangará 4217907 389,184
Tigrinhos 4217956 57,439
Tijucas 4218004 276,622
Timbé do Sul 4218103 333,426
Timbó 4218202 127,251
Timbó Grande 4218251 596,942
Três Barras 4218301 438,066
Treviso 4218350 157,667
Treze de Maio 4218400 161,081
Treze Tílias 4218509 185,205
Trombudo Central 4218608 102,796
Tubarão 4218707 300,273
Tunápolis 4218756 132,909
Turvo 4218806 233,941
União do Oeste 4218855 93,058
Urubici 4218905 1.019,232
Urupema 4218954 353,126
Urussanga 4219002 240,476
Vargeão 4219101 166,450
Vargem 4219150 350,124
Vargem Bonita 4219176 298,610
Vidal Ramos 4219200 339,068
Videira 4219309 377,852
Vitor Meireles 4219358 371,560
Witmarsum 4219408 150,798
Xanxerê 4219507 377,553
Xavantina 4219606 215,069
Xaxim 4219705 294,715
Zortéa 4219853 190,149
