INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Monsenhor Tabosa 2308609 886,303
Morada Nova 2308708 2.779,229
Área Municipal :
UF – Ceará – CE - 23
MUNICÍPIO CODMUNIC ÁREA (km²)
Moraújo 2308807 415,614
Morrinhos 2308906 408,878
Mucambo 2309003 190,538
Mulungu 2309102 134,594
Nova Olinda 2309201 284,404
Nova Russas 2309300 742,763
Novo Oriente 2309409 949,206
Ocara 2309458 765,366
Orós 2309508 576,269
Pacajus 2309607 254,435
Pacatuba 2309706 132,427
Pacoti 2309805 111,959
Pacujá 2309904 76,100
Palhano 2310001 442,785
Palmácia 2310100 117,816
Paracuru 2310209 303,253
Paraipaba 2310258 301,123
Parambu 2310308 2.303,402
Paramoti 2310407 482,648
Pedra Branca 2310506 1.303,273
Penaforte 2310605 190,428
Pentecoste 2310704 1.378,295
Pereiro 2310803 432,881
Pindoretama 2310852 72,855
Piquet Carneiro 2310902 587,887
Pires Ferreira 2310951 242,189
Poranga 2311009 1.309,274
Porteiras 2311108 217,570
Potengi 2311207 338,723
Potiretama 2311231 409,238
Quiterianópolis 2311264 1.040,955
Quixadá 2311306 2.019,816
Quixelô 2311355 559,760
Quixeramobim 2311405 3.275,838
Quixeré 2311504 616,825
Redenção 2311603 225,626
Reriutaba 2311702 383,119
Russas 2311801 1.588,105
Saboeiro 2311900 1.383,472
Salitre 2311959 899,824
Santa Quitéria 2312205 4.260,681
Santana do Acaraú 2312007 969,323
Santana do Cariri 2312106 768,768
São Benedito 2312304 338,149
São Gonçalo do Amarante 2312403 834,394
São João do Jaguaribe 2312502 280,436
São Luís do Curu 2312601 122,420
Senador Pompeu 2312700 1.002,127
Senador Sá 2312809 430,580
Sobral 2312908 2.122,989
Solonópole 2313005 1.536,158
Tabuleiro do Norte 2313104 861,838
Tamboril 2313203 1.961,634
Tarrafas 2313252 454,390
Tauá 2313302 4.018,188
Tejuçuoca 2313351 750,605
Tianguá 2313401 908,893
Trairi 2313500 924,555
Tururu 2313559 192,548
Ubajara 2313609 421,037
Área Municipal :
UF – Ceará – CE - 23
MUNICÍPIO CODMUNIC ÁREA (km²)
Umari 2313708 263,917
Umirim 2313757 326,496
Uruburetama 2313807 97,107
Uruoca 2313906 696,770
Varjota 2313955 179,255
Várzea Alegre 2314003 835,706
Viçosa do Ceará 2314102 1.311,592
