INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Municipal :
UF – Ceará – CE - 23
MUNICÍPIO CODMUNIC ÁREA (km²)
CEARÁ 148.825,602
Abaiara 2300101 179,906
Acarapé 2300150 155,188
Acaraú 2300200 842,884
Acopiara 2300309 2.265,316
Aiuaba 2300408 2.434,414
Alcântaras 2300507 138,598
Altaneira 2300606 73,296
Alto Santo 2300705 1.338,743
Amontada 2300754 1.179,590
Antonina do Norte 2300804 260,101
Apuiarés 2300903 544,744
Aquiraz 2301000 480,976
Aracati 2301109 1.229,194
Aracoiaba 2301208 656,532
Ararendá 2301257 344,132
Araripe 2301307 1.347,047
Aratuba 2301406 142,538
Arneiroz 2301505 1.066,426
Assaré 2301604 1.116,320
Aurora 2301703 885,827
Baixio 2301802 146,442
Banabuiú 2301851 1.079,987
Barbalha 2301901 479,184
Barreira 2301950 245,946
Barro 2302008 709,655
Barroquinha 2302057 383,426
Baturité 2302107 308,780
Beberibe 2302206 1.616,389
Bela Cruz 2302305 841,718
Boa Viagem 2302404 2.836,774
Brejo Santo 2302503 661,959
Camocim 2302602 1.123,937
Campos Sales 2302701 1.082,771
Canindé 2302800 3.218,423
Capistrano 2302909 194,797
Caridade 2303006 846,373
Cariré 2303105 756,893
Caririaçu 2303204 623,823
Cariús 2303303 1.061,825
Carnaubal 2303402 364,750
Cascavel 2303501 837,967
Catarina 2303600 486,859
Catunda 2303659 790,483
Caucaia 2303709 1.227,895
Cedro 2303808 725,786
Chaval 2303907 238,228
Choró 2303931 815,759
Chorozinho 2303956 278,400
Coreaú 2304004 775,746
Crateús 2304103 2.985,411
Crato 2304202 1.009,202
Croatá 2304236 700,356
Cruz 2304251 334,833
Deputado Irapuan Pinheiro 2304269 470,421
Ererê 2304277 382,730
Eusébio 2304285 76,583
Farias Brito 2304301 503,574
Área Municipal :
UF – Ceará – CE - 23
MUNICÍPIO CODMUNIC ÁREA (km²)
Forquilha 2304350 516,988
Fortaleza 2304400 313,140
Fortim 2304459 280,184
Frecheirinha 2304509 181,240
General Sampaio 2304608 206,198
Graça 2304657 281,890
Granja 2304707 2.697,202
Granjeiro 2304806 100,135
Groaíras 2304905 155,963
Guaiúba 2304954 267,203
Guaraciaba do Norte 2305001 611,463
Guaramiranga 2305100 59,471
Hidrolândia 2305209 966,572
Horizonte 2305233 159,972
Ibaretama 2305266 877,260
Ibiapina 2305308 414,902
Ibicuitinga 2305332 424,242
Icapuí 2305357 428,688
Icó 2305407 1.871,980
Iguatu 2305506 1.029,002
Independência 2305605 3.218,641
Ipaporanga 2305654 701,990
Ipaumirim 2305704 273,696
Ipu 2305803 630,468
Ipueiras 2305902 1.474,108
Iracema 2306009 822,833
Irauçuba 2306108 1.461,223
Itaiçaba 2306207 209,490
Itaitinga 2306256 150,788
Itapagé 2306306 439,501
Itapipoca 2306405 1.614,682
Itapiúna 2306504 588,684
Itarema 2306553 720,668
Itatira 2306603 783,347
Jaguaretama 2306702 1.759,722
Jaguaribara 2306801 668,291
Jaguaribe 2306900 1.876,793
Jaguaruana 2307007 867,251
Jardim 2307106 457,034
Jati 2307205 312,584
Jijoca de Jericoacoara 2307254 201,858
Juazeiro do Norte 2307304 248,558
Jucás 2307403 937,180
Lavras da Mangabeira 2307502 947,957
Limoeiro do Norte 2307601 751,535
Madalena 2307635 1.034,773
Maracanaú 2307650 105,696
Maranguape 2307700 590,824
Marco 2307809 574,148
Martinópole 2307908 298,948
Massapê 2308005 571,531
Mauriti 2308104 1.111,856
Meruoca 2308203 144,940
Milagres 2308302 546,637
Milhã 2308351 502,036
Miraíma 2308377 699,588
Missão Velha 2308401 651,108
Mombaça 2308500 2.119,462
