INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial :
UF – Rio Grande do Norte– RN - 24
MUNICÍPIO CODMUNIC ÁREA (km²)
RIO GRANDE DO NORTE 52.796,791
Acari 2400109 608,565
Açu 2400208 1.269,235
Afonso Bezerra 2400307 576,248
Água Nova 2400406 50,683
Alexandria 2400505 381,202
Almino Afonso 2400604 128,029
Alto do Rodrigues 2400703 191,311
Angicos 2400802 741,654
Antônio Martins 2400901 244,620
Apodi 2401008 1.602,659
Areia Branca 2401107 357,580
Arês 2401206 112,584
Augusto Severo 2401305 896,962
Baía Formosa 2401404 245,510
Baraúna 2401453 825,802
Barcelona 2401503 152,629
Bento Fernandes 2401602 301,075
Bodó 2401651 253,513
Bom Jesus 2401701 122,033
Brejinho 2401800 58,528
Caiçara do Norte 2401859 189,495
Caiçara do Rio do Vento 2401909 261,191
Caicó 2402006 1.228,574
Campo Redondo 2402105 213,729
Canguaretama 2402204 245,529
Caraúbas 2402303 1.095,001
Carnaúba dos Dantas 2402402 245,648
Carnaubais 2402501 529,835
Ceará-Mirim 2402600 739,686
Cerro Corá 2402709 393,569
Coronel Ezequiel 2402808 185,752
Coronel João Pessoa 2402907 117,140
Cruzeta 2403004 295,829
Currais Novos 2403103 864,341
Doutor Severiano 2403202 108,277
Encanto 2403301 125,747
Equador 2403400 264,983
Espírito Santo 2403509 143,673
Extremoz 2403608 125,665
Felipe Guerra 2403707 268,427
Fernando Pedroza 2403756 322,540
Florânia 2403806 504,022
Francisco Dantas 2403905 181,593
Frutuoso Gomes 2404002 63,278
Galinhos 2404101 342,442
Goianinha 2404200 192,277
Governador Dix-Sept Rosado 2404309 1.129,356
Grossos 2404408 126,451
Guamaré 2404507 259,181
Ielmo Marinho 2404606 305,185
Ipanguaçu 2404705 374,239
Ipueira 2404804 127,347
Itajá 2404853 203,623
Itaú 2404903 133,032
Jaçanã 2405009 54,558
Jandaíra 2405108 435,678
Janduís 2405207 304,899
Área Territorial :
UF – Rio Grande do Norte– RN - 24
MUNICÍPIO CODMUNIC ÁREA (km²)
Januário Cicco 2405306 187,211
Japi 2405405 188,990
Jardim de Angicos 2405504 254,045
Jardim de Piranhas 2405603 330,533
Jardim do Seridó 2405702 368,643
