Código Município Completo,Município,Nome_Município,latitude,longitude,altitude,Microrregião Geográfica,UF,Mesorregião Geográfica
1200435,435,Santa Rosa do Purus,-7.7336020337232201,-72.647854914199712,189.58542600000001,3,12,2
1200450,450,Senador Guiomard,-10.148173586198901,-67.743172360005104,207.92479700000001,4,12,2
1200500,500,Sena Madureira,-9.0653395050000007,-68.655684061692,132.13303400000001,3,12,2
1200609,609,Tarauacá,-8.15566859176562,-70.7555010628937,172.14446599999999,2,12,1
1200708,708,Xapuri,-10.652071940335501,-68.506294805046295,173.281643,5,12,2
1200807,807,Porto Acre,-9.6008582311878801,-67.540590083519405,134.32279299999999,4,12,2
1300029,29,Alvarães,-3.2165837690663901,-64.813534677568612,46.116014,5,13,3
1300060,60,Amaturá,-3.36680518750561,-68.209614640940401,73.447708000000006,3,13,2
1300086,86,Anamã,-3.5763704268902701,-61.405903479750101,21.613748000000001,6,13,3
1300102,102,Anori,-3.7453855861188901,-61.658955382877899,20.346246000000001,6,13,3
1300144,144,Apuí,-7.1978701516076002,-59.885666104718801,132.98111,13,13,4
1300201,201,Atalaia do Norte,-4.3661574897160298,-70.187989284522601,76.016638,3,13,2
1300300,300,Autazes,-3.5786636417712701,-59.133567091816801,20.491551000000001,7,13,3
1300409,409,Barcelos,-0.97280105253219096,-62.925669658102599,35.361960000000003,1,13,1
1300508,508,Barreirinha,-3.1693025913105299,-57.239311154926597,20.828949000000001,10,13,3
1300607,607,Benjamin Constant,-4.3749890186039098,-70.027348433276501,69.803810999999996,3,13,2
1300631,631,Beruri,-3.8945134098180598,-61.371570891665897,22.862003000000001,6,13,3
1300680,680,Boa Vista do Ramos,-2.97172653158936,-57.587707346473699,23.018048,10,13,3
1300706,706,Boca do Acre,-8.7512431960937906,-67.3995777566805,106.76603299999999,11,13,4
1300805,805,Borba,-4.3906198914727304,-59.594559019496899,29.014904999999999,13,13,4
1300839,839,Caapiranga,-3.3300933919416003,-61.211334133181701,20.166840000000001,6,13,3
1300904,904,Canutama,-6.5291060758261397,-64.39423081892879,52.008963000000001,12,13,4
1301001,1001,Carauari,-4.8816659042041302,-66.8966352816837,66.157960000000003,4,13,2
1301100,1100,Careiro,-3.8224472700459899,-60.3638098437089,25.175384000000001,7,13,3
1301159,1159,Careiro da Várzea,-3.1973965948696002,-59.826314060833901,19.228559000000001,7,13,3
1301209,1209,Coari,-4.0842191587758796,-63.142183984056196,37.939946999999997,6,13,3
1301308,1308,Codajás,-3.4186555400530501,-62.676617352215601,32.782235,6,13,3
1301407,1407,Eirunepé,-6.6673525668518199,-69.866290262441609,122.17439899999999,4,13,2
1301506,1506,Envira,-7.4398175439683802,-70.030412542982489,137.39630099999999,4,13,2
1301605,1605,Fonte Boa,-2.5122706845477896,-66.096502989834704,58.147019,3,13,2
1301654,1654,Guajará,-7.5477744148335999,-72.582430538339594,182.75124600000001,4,13,2
