id_microrregiao,fk_id_estado,fk_id_mesorregiao,nome
31044,31,3109,Formiga
23016,23,2303,Fortaleza
41024,41,4106,Foz do Iguaçu
35012,35,3502,Franca
41026,41,4107,Francisco Beltrão
35058,35,3515,Franco da Rocha
43003,43,4301,Frederico Westphalen
31021,31,3105,Frutal
15005,15,1502,Furos de Breves
26011,26,2603,Garanhuns
21020,21,2105,Gerais de Balsas
52010,52,5203,Goiânia
41004,41,4102,Goioerê
31037,31,3108,Governador Valadares
43024,43,4305,Gramado-Canela
31008,31,3102,Grão Mogol
11002,11,1101,Guajará-Mirim
15013,15,1504,Guamá
29026,29,2906,Guanambi
31035,31,3108,Guanhães
43014,43,4302,Guaporé
25016,25,2503,Guarabira
32010,32,3203,Guarapari
41029,41,4108,Guarapuava
35051,35,3513,Guaratinguetá
35059,35,3515,Guarulhos
17005,17,1701,Gurupi
21007,21,2102,Gurupi
41017,41,4104,Ibaiti
23002,23,2301,Ibiapaba
50011,50,5004,Iguatemi
23026,23,2306,Iguatu
43008,43,4301,Ijuí
29031,29,2907,Ilhéus-Itabuna
21009,21,2102,Imperatriz
31039,31,3108,Ipatinga
52008,52,5203,Iporá
23006,23,2301,Ipu
41032,41,4109,Irati
29009,29,2903,Irecê
25018,25,2503,Itabaiana
29011,29,2903,Itaberaba
31031,31,3107,Itabira
13009,13,1303,Itacoatiara
33017,33,3306,Itaguaí
31032,31,3107,Itaguara
15014,15,1505,Itaituba
42013,42,4204,Itajaí
31056,31,3110,Itajubá
26016,26,2605,Itamaracá
35056,35,3514,Itanhaém
26006,26,2602,Itaparica
35060,35,3515,Itapecerica da Serra
21006,21,2101,Itapecuru Mirim
32013,32,3204,Itapemirim
33001,33,3301,Itaperuna
29029,29,2906,Itapetinga
35042,35,3511,Itapetininga
35041,35,3511,Itapeva
23008,23,2302,Itapipoca
25006,25,2501,Itaporanga
31017,31,3105,Ituiutaba
42014,42,4204,Ituporanga
35011,35,3502,Ituverava
41013,41,4103,Ivaiporã
35013,35,3502,Jaboticabal
41016,41,4104,Jacarezinho
29010,29,2903,Jacobina
43034,43,4307,Jaguarão
41020,41,4105,Jaguariaíva
17007,17,1702,Jalapão
35001,35,3501,Jales
31004,31,3102,Janaúba
31003,31,3102,Januária
28009,28,2803,Japaratuba
13002,13,1301,Japurá
35021,35,3504,Jaú
51014,51,5103,Jauru
29024,29,2906,Jequié
29013,29,2904,Jeremoabo
