Código de Distrito Completo,Distrito,Nome_Distrito,latitude,longitude,altitude,Código Município Completo
120045005,05,Senador Guiomard,,,,1200450
120060905,05,Tarauacá,,,,1200609
120070805,05,Xapuri,,,,1200708
130002905,05,Alvarães,,,,1300029
130006005,05,Amaturá,,,,1300060
130008605,05,Anamã,,,,1300086
130010205,05,Anori,,,,1300102
130014405,05,Apuí,,,,1300144
130014410,10,Sucunduri,,,,1300144
130020105,05,Atalaia do Norte,,,,1300201
130030005,05,Autazes,,,,1300300
130030010,10,Murutinga,,,,1300300
130040905,05,Barcelos,,,,1300409
130050805,05,Barreirinha,,,,1300508
130050810,10,Ariaú,,,,1300508
130050812,12,Cametá,,,,1300508
130050815,15,Freguesia do Andirá,,,,1300508
130050820,20,Pedras,,,,1300508
130060705,05,Benjamin Constant,,,,1300607
130063105,05,Beruri,,,,1300631
130068005,05,Boa Vista do Ramos,,,,1300680
130068010,10,Lago Preto,,,,1300680
130068015,15,Massauari,,,,1300680
130070605,05,Boca do Acre,,,,1300706
130070610,10,Floriano Peixoto,,,,1300706
130080505,05,Borba,,,,1300805
130080520,20,Canumã,,,,1300805
130080525,25,Axinin,,,,1300805
130083905,05,Caapiranga,,,,1300839
130090405,05,Canutama,,,,1300904
130090410,10,Belo Monte,,,,1300904
130090415,15,Açuanópolis,,,,1300904
130100105,05,Carauari,,,,1301001
130110005,05,Careiro,,,,1301100
130110010,10,Purupuru,,,,1301100
130110015,15,Janauacá,,,,1301100
130115905,05,Careiro da Várzea,,,,1301159
130120905,05,Coari,,,,1301209
130130805,05,Codajás,,,,1301308
130130810,10,Badajós,,,,1301308
130140705,05,Eirunepé,,,,1301407
130150605,05,Envira,,,,1301506
130160505,05,Fonte Boa,,,,1301605
130165405,05,Guajará,,,,1301654
130170405,05,Humaitá,,,,1301704
130180305,05,Ipixuna,,,,1301803
130185205,05,Iranduba,,,,1301852
130185210,10,Ariaú,,,,1301852
130185215,15,Cacau Pirêra,,,,1301852
130185220,20,Lago do Limão,,,,1301852
130185225,25,Paricatuba,,,,1301852
130190205,05,Itacoatiara,,,,1301902
130190210,10,Amatari,,,,1301902
